Index,Bacteria/Host species,Download link
Bacteria,Aneurinibacillus aneurinilyticus,wget https://gmpsdb.cn/api/download/bacteria/4917/download/ -O BACTERIA_Aneurinibacillus_aneurinilyticus.tar.gz
Bacteria,Arabiibacter massiliensis,wget https://gmpsdb.cn/api/download/bacteria/4918/download/ -O BACTERIA_Arabiibacter_massiliensis.tar.gz
Bacteria,Arcanobacterium haemolyticum,wget https://gmpsdb.cn/api/download/bacteria/4919/download/ -O BACTERIA_Arcanobacterium_haemolyticum.tar.gz
Bacteria,Arthrobacter castelli,wget https://gmpsdb.cn/api/download/bacteria/4920/download/ -O BACTERIA_Arthrobacter_castelli.tar.gz
Bacteria,Atopobium minutum,wget https://gmpsdb.cn/api/download/bacteria/4921/download/ -O BACTERIA_Atopobium_minutum.tar.gz
Bacteria,Bacilli bacterium VT-13-104,wget https://gmpsdb.cn/api/download/bacteria/4922/download/ -O BACTERIA_Bacilli_bacterium_VT-13-104.tar.gz
Bacteria,Bacillus altitudinis,wget https://gmpsdb.cn/api/download/bacteria/4923/download/ -O BACTERIA_Bacillus_altitudinis.tar.gz
Bacteria,Bacillus amyloliquefaciens,wget https://gmpsdb.cn/api/download/bacteria/4924/download/ -O BACTERIA_Bacillus_amyloliquefaciens.tar.gz
Bacteria,Bacillus andreraoultii,wget https://gmpsdb.cn/api/download/bacteria/4925/download/ -O BACTERIA_Bacillus_andreraoultii.tar.gz
Bacteria,Bacillus atrophaeus,wget https://gmpsdb.cn/api/download/bacteria/4926/download/ -O BACTERIA_Bacillus_atrophaeus.tar.gz
Bacteria,Bacillus cereus,wget https://gmpsdb.cn/api/download/bacteria/4927/download/ -O BACTERIA_Bacillus_cereus.tar.gz
Bacteria,Bacillus infantis,wget https://gmpsdb.cn/api/download/bacteria/4928/download/ -O BACTERIA_Bacillus_infantis.tar.gz
Bacteria,Bacillus licheniformis,wget https://gmpsdb.cn/api/download/bacteria/4929/download/ -O BACTERIA_Bacillus_licheniformis.tar.gz
Bacteria,Bacillus massilionigeriensis,wget https://gmpsdb.cn/api/download/bacteria/4930/download/ -O BACTERIA_Bacillus_massilionigeriensis.tar.gz
Bacteria,Bacillus mojavensis,wget https://gmpsdb.cn/api/download/bacteria/4931/download/ -O BACTERIA_Bacillus_mojavensis.tar.gz
Bacteria,Bacillus mycoides,wget https://gmpsdb.cn/api/download/bacteria/4932/download/ -O BACTERIA_Bacillus_mycoides.tar.gz
Bacteria,Bacillus paralicheniformis,wget https://gmpsdb.cn/api/download/bacteria/4933/download/ -O BACTERIA_Bacillus_paralicheniformis.tar.gz
Bacteria,Bacillus pumilus,wget https://gmpsdb.cn/api/download/bacteria/4934/download/ -O BACTERIA_Bacillus_pumilus.tar.gz
Bacteria,Bacillus rubiinfantis,wget https://gmpsdb.cn/api/download/bacteria/4935/download/ -O BACTERIA_Bacillus_rubiinfantis.tar.gz
Bacteria,Bacillus smithii,wget https://gmpsdb.cn/api/download/bacteria/4936/download/ -O BACTERIA_Bacillus_smithii.tar.gz
Bacteria,Bacillus sonorensis,wget https://gmpsdb.cn/api/download/bacteria/4937/download/ -O BACTERIA_Bacillus_sonorensis.tar.gz
Bacteria,Bacillus sp. AP8,wget https://gmpsdb.cn/api/download/bacteria/4938/download/ -O BACTERIA_Bacillus_sp._AP8.tar.gz
Bacteria,Bacillus subtilis,wget https://gmpsdb.cn/api/download/bacteria/4939/download/ -O BACTERIA_Bacillus_subtilis.tar.gz
Bacteria,Bacillus testis,wget https://gmpsdb.cn/api/download/bacteria/4940/download/ -O BACTERIA_Bacillus_testis.tar.gz
Bacteria,Bacillus thuringiensis,wget https://gmpsdb.cn/api/download/bacteria/4941/download/ -O BACTERIA_Bacillus_thuringiensis.tar.gz
Bacteria,Bacillus timonensis,wget https://gmpsdb.cn/api/download/bacteria/4942/download/ -O BACTERIA_Bacillus_timonensis.tar.gz
Bacteria,Bacillus tuaregi,wget https://gmpsdb.cn/api/download/bacteria/4943/download/ -O BACTERIA_Bacillus_tuaregi.tar.gz
Bacteria,Bacillus vallismortis,wget https://gmpsdb.cn/api/download/bacteria/4944/download/ -O BACTERIA_Bacillus_vallismortis.tar.gz
Bacteria,Bacillus wiedmannii,wget https://gmpsdb.cn/api/download/bacteria/4945/download/ -O BACTERIA_Bacillus_wiedmannii.tar.gz
Bacteria,Bacteroides acidifaciens,wget https://gmpsdb.cn/api/download/bacteria/4946/download/ -O BACTERIA_Bacteroides_acidifaciens.tar.gz
Bacteria,Bacteroides bouchesdurhonensis,wget https://gmpsdb.cn/api/download/bacteria/4947/download/ -O BACTERIA_Bacteroides_bouchesdurhonensis.tar.gz
Bacteria,Bacteroides caccae,wget https://gmpsdb.cn/api/download/bacteria/4948/download/ -O BACTERIA_Bacteroides_caccae.tar.gz
Bacteria,Bacteroides cellulosilyticus,wget https://gmpsdb.cn/api/download/bacteria/4949/download/ -O BACTERIA_Bacteroides_cellulosilyticus.tar.gz
Bacteria,Bacteroides clarus,wget https://gmpsdb.cn/api/download/bacteria/4950/download/ -O BACTERIA_Bacteroides_clarus.tar.gz
Bacteria,Bacteroides eggerthii,wget https://gmpsdb.cn/api/download/bacteria/4951/download/ -O BACTERIA_Bacteroides_eggerthii.tar.gz
Bacteria,Bacteroides faecalis,wget https://gmpsdb.cn/api/download/bacteria/4952/download/ -O BACTERIA_Bacteroides_faecalis.tar.gz
Bacteria,Bacteroides faecis,wget https://gmpsdb.cn/api/download/bacteria/4953/download/ -O BACTERIA_Bacteroides_faecis.tar.gz
Bacteria,Bacteroides finegoldii,wget https://gmpsdb.cn/api/download/bacteria/4954/download/ -O BACTERIA_Bacteroides_finegoldii.tar.gz
Bacteria,Bacteroides fluxus,wget https://gmpsdb.cn/api/download/bacteria/4955/download/ -O BACTERIA_Bacteroides_fluxus.tar.gz
Bacteria,Bacteroides fragilis,wget https://gmpsdb.cn/api/download/bacteria/4956/download/ -O BACTERIA_Bacteroides_fragilis.tar.gz
Bacteria,Bacteroides graminisolvens,wget https://gmpsdb.cn/api/download/bacteria/4957/download/ -O BACTERIA_Bacteroides_graminisolvens.tar.gz
